id,cfname,namefaci,region,region_psgc,province,province_psgc,city_mun,city_mun_psgc,north_coord,east_coord,updateddate,addeddate,reportdate,ibc,mechvent_facown,mechven_outsrc,swab_tr,swab_untr,spec_stor,spec_stor_temp,spec_trans,spec_trans_temp,ipc_fac_mng,ipc_safety_ofc,ipc_officer,ipc_zoning,ipc_pt_place,ipc_tempcheck,ipc_symptom,ipc_WHO,ipc_disinfect,ipc_waste,ipc_exitentrance,ipc_dedicatedhcw,ipc_rtw,ipc_training,ipc_transport,phic_irm
888,PARACELIS DISTRICT HOSPITAL,PARACELIS DISTRICT HOSPITAL,CORDILLERA ADMINISTRA TIVE REGION (CAR),PH140000000,MOUNTAIN PROVINCE,PH144400000,PARACELIS,PH144406000,0.0,0.0,2020-07-08 14:15:44,2020-07-08 14:15:44,2020-07-08 00:00:00,35,0,0,0,1,0,0,1,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1400,LORETO DISTRICT HOSPITAL,LORETO DISTRICT HOSPITAL,REGION XIII (CARAGA),PH160000000,DINAGAT ISLANDS,PH168500000,LORETO,PH168505000,0.0,0.0,2020-08-28 14:49:35,2020-08-04 16:08:25,2020-08-28 00:00:00,20,0,0,2,0,1,0,2,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
486,INFANTE HOSPITAL MANAGEMENT CORPORATION,INFANTE HOSPITAL MANAGEMENT CORPORATION,REGION IX (ZAMBOANGA PENINSULA),PH090000000,CITY OF ISABELA (NOT A PROVINCE),PH099700000,CITY OF ISABELA,PH099701000,0.0,0.0,2020-07-03 13:36:02,2020-07-03 13:36:02,2020-07-03 00:00:00,28,0,0,5,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1386,"DIGNUM FOUNDATION HOSPITAL, INC.","DIGNUM FOUNDATION HOSPITAL, INC.",REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS OCCIDENTAL,PH104200000,OROQUIETA CITY (CAPITAL),PH104209000,0.0,0.0,2020-08-01 09:16:20,2020-08-01 08:34:20,2020-08-01 00:00:00,28,0,0,0,0,1,1,5,5,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1
963,R AND L MEDICAL CLINIC,R AND L MEDICAL CLINIC,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS OCCIDENTAL,PH104200000,ALORAN,PH104201000,0.0,0.0,2020-07-10 10:23:53,2020-07-10 10:23:53,2020-07-10 00:00:00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1254,DATU ALAWADIN BANDON SR. MEMORIAL HOSPITAL,DATU ALAWADIN BANDON SR. MEMORIAL HOSPITAL,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,TAWI-TAWI,PH157000000,SIBUTU,PH157011000,0.0,0.0,2020-07-24 21:28:35,2020-07-24 21:28:35,2020-07-24 00:00:00,14,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0
1408,KOLAMBUGAN PROVINCIAL HOSPITAL,KOLAMBUGAN PROVINCIAL HOSPITAL,REGION X (NORTHERN MINDANAO),PH100000000,LANAO DEL NORTE,PH103500000,KOLAMBUGAN,PH103508000,0.0,0.0,2020-08-06 12:37:33,2020-08-06 12:37:33,2020-08-06 00:00:00,75,0,0,0,1,1,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1333,MISAMIS UNIVERSITY MEDICAL CENTER,MISAMIS UNIVERSITY MEDICAL CENTER,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS OCCIDENTAL,PH104200000,OZAMIZ CITY,PH104210000,0.0,0.0,2020-07-31 08:12:36,2020-07-31 08:12:36,2020-07-31 00:00:00,100,1,0,3,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1245,CATUBIG DISTRICT HOSPITAL,CATUBIG DISTRICT HOSPITAL,REGION VIII (EASTERN VISAYAS),PH080000000,NORTHERN SAMAR,PH084800000,CATUBIG,PH084806000,0.0,0.0,2020-07-24 11:47:31,2020-07-24 11:33:37,2020-07-24 00:00:00,25,0,0,2,2,1,0,1,2,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
508,BILIRAN PROVINCIAL HOSPITAL,BILIRAN PROVINCIAL HOSPITAL,REGION VIII (EASTERN VISAYAS),PH080000000,BILIRAN,PH087800000,NAVAL (CAPITAL),PH087808000,0.0,0.0,2020-07-03 14:23:28,2020-07-03 14:23:28,2020-07-03 00:00:00,104,5,0,17,14,1,1,4,20,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
