facilityname,updateddate,addeddate,reportdate,coverall,surgmask,shoe_cover,face_shield,head_cover,n95mask,goggles,gloves,gown,vtm,nps,ops,weekly_reportdate,region,province,city_mun,bgy,region_psgc,province_psgc,city_mun_psgc,bgy_psgc
RHU ABULUG,2020-06-07 11:07:58 UTC,2020-06-07 11:07:58 UTC,2020-06-07 00:00:00 UTC,0,650,0,0,0,0,0,0,0,0,0,0,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,ABULUG,CENTRO (POB.),PH020000000,PH021500000,PH021501000,PH021501007
NATIONAL CHILD DEVELOPMENT CENTER,2020-06-07 18:28:17 UTC,2020-06-07 18:28:17 UTC,2020-06-07 00:00:00 UTC,3,0,3,17,3,0,17,500,3,0,0,0,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,ALLACAPAN,DAAN-ILI,PH020000000,PH021500000,PH021503000,PH021503012
AMULUNG QUARANTINE FACILITY,2020-06-05 11:44:37 UTC,2020-06-05 11:44:37 UTC,2020-05-31 00:00:00 UTC,0,90,0,0,90,0,0,150,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,AMULUNG,ANNAFATAN,PH020000000,PH021500000,PH021504000,PH021504005
BALLESTEROS LGU GUEST HOUSE,2020-05-29 10:59:33 UTC,2020-05-29 10:59:33 UTC,2020-05-24 00:00:00 UTC,0,0,0,0,0,0,0,150,0,0,0,0,2020-05-24 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,BALLESTEROS,CENTRO EAST (POB.),PH020000000,PH021500000,PH021507000,PH021507008
BALLESTEROS LGU GUEST HOUSE,2020-06-05 13:54:51 UTC,2020-06-05 13:54:51 UTC,2020-05-31 00:00:00 UTC,0,0,0,0,0,0,0,150,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,BALLESTEROS,CENTRO EAST (POB.),PH020000000,PH021500000,PH021507000,PH021507008
CRAB HOTEL,2020-05-31 09:41:32 UTC,2020-05-31 09:41:32 UTC,2020-05-31 00:00:00 UTC,200,100,50,40,100,50,30,200,30,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,BUGUEY,CENTRO (POB.),PH020000000,PH021500000,PH021508000,PH021508005
CRAB HOTEL,2020-06-07 06:52:58 UTC,2020-06-07 06:52:58 UTC,2020-06-07 00:00:00 UTC,190,90,45,35,90,45,26,180,26,0,0,0,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,BUGUEY,CENTRO (POB.),PH020000000,PH021500000,PH021508000,PH021508005
DEPARTMENT OF AGRICULTURE-SOUTHERN CAGAYAN RESEARCH CENTER,2020-06-05 08:35:26 UTC,2020-06-05 08:35:26 UTC,2020-05-31 00:00:00 UTC,10,100,0,10,0,0,10,100,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,IGUIG,MINANGA NORTE,PH020000000,PH021500000,PH021515000,PH021515015
LASAM LIGTAS COVID CENTER,2020-06-05 09:44:02 UTC,2020-06-05 09:44:02 UTC,2020-05-31 00:00:00 UTC,10,100,10,10,10,10,10,50,10,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,LASAM,CENTRO III (POB.),PH020000000,PH021500000,PH021517000,PH021517032
PAMPLONA CULTURAL AND SPORTS CENTER,2020-06-05 11:35:30 UTC,2020-06-05 11:35:30 UTC,2020-05-31 00:00:00 UTC,24,100,0,0,0,0,0,100,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,PAMPLONA,CENTRO (POB.),PH020000000,PH021500000,PH021518000,PH021518009
BALAY SILANGAN,2020-06-05 11:03:56 UTC,2020-06-05 11:03:56 UTC,2020-05-31 00:00:00 UTC,180,300,180,5,100,180,180,600,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,SANTA ANA,DIORA-ZINUNGAN,PH020000000,PH021500000,PH021523000,PH021523004
LEANDRO PAGURAYAN SR. MEMORIAL GYMNASIUM/ BAHAY SILANGAN,2020-06-05 09:43:43 UTC,2020-06-05 09:43:43 UTC,2020-05-31 00:00:00 UTC,150,2000,150,150,250,100,150,500,0,1,1,1,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,SANTO NIÑO (FAIRE),CENTRO SUR (POB.),PH020000000,PH021500000,PH021526000,PH021526011
